QRS_Width,R_Peak_Height,P_Wave_Present,T_Wave_Present,ST_Level,PR_Interval,Label
12,1.0,1,1,0.0771,123,N
11,1.0,1,1,0.1134,124,N
11,1.0,1,1,0.114,124,N
14,1.0,1,1,0.0502,122,A
12,1.0,1,1,0.1347,123,N
12,1.0,1,1,0.1217,123,N
12,1.0,1,1,0.1084,123,N
11,1.0,1,1,0.1038,123,N
12,1.0,1,1,0.0929,123,N
11,1.0,1,1,0.1032,124,N
11,1.0,1,1,0.1275,124,N
11,1.0,1,1,0.1357,123,N
12,1.0,1,1,0.0648,124,N
12,1.0,1,1,0.0835,123,N
12,1.0,1,1,0.0595,123,N
11,1.0,1,1,0.1074,124,N
12,1.0,1,1,0.1324,123,N
12,1.0,1,1,0.0769,123,N
12,1.0,1,1,0.08,123,N
13,1.0,1,1,0.1391,122,N
15,1.0,1,1,0.1095,121,N
13,1.0,1,1,0.0986,123,N
15,1.0,1,1,0.1002,121,N
11,1.0,1,1,0.1355,124,N
11,1.0,1,1,0.1438,123,N
15,1.0,1,1,0.1051,122,N
12,1.0,1,1,0.1461,123,N
12,1.0,1,1,0.1366,123,A
15,1.0,1,1,0.0758,122,N
12,1.0,1,1,0.0665,123,N
12,1.0,1,1,0.0803,123,N
14,1.0,1,1,0.0831,123,N
12,1.0,1,1,0.1125,123,N
12,1.0,1,1,0.0937,123,N
11,1.0,1,1,0.1456,124,N
11,1.0,1,1,0.0802,124,N
12,1.0,1,1,0.0745,123,N
12,1.0,1,1,0.0967,123,N
13,1.0,1,1,0.1463,122,N
12,1.0,1,1,0.0961,123,N
12,1.0,1,1,0.1056,123,N
12,1.0,1,1,0.1419,123,N
11,1.0,1,1,0.0942,124,N
12,1.0,1,1,0.0785,123,N
12,1.0,1,1,0.1421,123,N
12,1.0,1,1,0.0633,124,N
12,1.0,1,1,0.1306,123,N
14,1.0,1,1,0.145,122,N
13,1.0,1,1,0.0763,123,N
14,1.0,1,1,0.0783,122,N
12,1.0,1,1,0.0715,123,N
12,1.0,1,1,0.1066,124,N
11,1.0,1,1,0.1082,124,N
13,1.0,1,1,0.1273,122,N
12,1.0,1,1,0.07,123,N
13,1.0,1,1,0.1044,122,N
14,1.0,1,1,0.1128,122,N
12,1.0,1,1,0.1154,123,N
12,1.0,1,1,0.1344,123,N
13,1.0,1,1,0.1162,123,N
12,1.0,1,1,0.0785,123,N
13,1.0,1,1,0.1275,122,N
12,1.0,1,1,0.1474,123,N
13,1.0,1,1,0.1506,122,N
13,1.0,1,1,0.1264,123,N
12,1.0,1,1,0.1292,123,N
12,1.0,1,1,0.0822,123,N
12,1.0,1,1,0.0716,123,N
12,1.0,1,1,0.0983,123,N
13,1.0,1,1,0.1374,122,N
12,1.0,1,1,0.094,123,N
12,1.0,1,1,0.0868,123,N
13,1.0,1,1,0.1157,122,N
13,1.0,1,1,0.0834,123,N
13,1.0,1,1,0.1122,122,N
12,1.0,1,1,0.0959,123,N
12,1.0,1,1,0.0791,123,N
12,1.0,1,1,0.1097,123,N
11,1.0,1,1,0.14,124,N
14,1.0,1,1,0.1402,122,N
13,1.0,1,1,0.0872,123,N
13,1.0,1,1,0.0506,122,A
13,1.0,1,1,0.1237,122,N
17,1.0,1,1,0.1068,120,N
15,1.0,1,1,0.0746,122,N
16,1.0,1,1,0.124,121,N
13,1.0,1,1,0.1129,123,N
13,1.0,1,1,0.0897,123,N
12,1.0,1,1,0.147,123,N
12,1.0,1,1,0.1342,123,N
13,1.0,1,1,0.0673,123,N
13,1.0,1,1,0.097,123,N
12,1.0,1,1,0.123,123,N
13,1.0,1,1,0.0779,123,N
13,1.0,1,1,0.1483,122,A
12,1.0,1,1,0.086,123,A
12,1.0,1,1,0.1316,123,N
15,1.0,1,1,0.0925,121,N
16,1.0,1,1,0.1113,121,A
12,1.0,1,1,0.088,123,N
12,1.0,1,1,0.1161,123,N
13,1.0,1,1,0.1353,122,A
12,1.0,1,1,0.0757,123,A
12,1.0,1,1,0.0902,123,N
13,1.0,1,1,0.1124,123,N
12,1.0,1,1,0.1276,123,N
13,1.0,1,1,0.1365,122,N
13,1.0,1,1,0.0976,122,N
12,1.0,1,1,0.1279,123,N
11,1.0,1,1,0.1144,124,N
13,1.0,1,1,0.0882,122,N
16,1.0,1,1,0.146,120,N
13,1.0,1,1,0.0905,122,N
13,1.0,1,1,0.1199,122,N
14,1.0,1,1,0.1475,123,N
12,1.0,1,1,0.109,123,N
12,1.0,1,1,0.1088,123,A
15,1.0,1,1,0.0987,121,N
13,1.0,1,1,0.1297,123,N
12,1.0,1,1,0.0993,123,N
12,1.0,1,1,0.1295,123,A
12,1.0,1,1,0.1579,123,N
12,1.0,1,1,0.1375,123,N
13,1.0,1,1,0.1238,122,N
13,1.0,1,1,0.0838,123,N
13,1.0,1,1,0.0814,124,N
12,1.0,1,1,0.1373,123,N
13,1.0,1,1,0.0672,123,N
12,1.0,1,1,0.1169,123,N
12,1.0,1,1,0.1088,123,N
12,1.0,1,1,0.1442,123,N
15,1.0,1,1,0.0948,122,N
13,1.0,1,1,0.092,123,N
13,1.0,1,1,0.1026,122,N
13,1.0,1,1,0.1512,122,A
13,1.0,1,1,0.0853,123,N
14,1.0,1,1,0.0947,122,N
12,1.0,1,1,0.0819,123,N
11,1.0,1,1,0.1127,124,N
13,1.0,1,1,0.1023,122,N
12,1.0,1,1,0.0756,123,N
15,1.0,1,1,0.1454,121,N
12,1.0,1,1,0.1266,123,N
13,1.0,1,1,0.0993,123,N
11,1.0,1,1,0.1066,124,N
13,1.0,1,1,0.0397,123,A
13,1.0,1,1,0.0765,123,N
14,1.0,1,1,0.1281,123,N
12,1.0,1,1,0.0996,123,N
12,1.0,1,1,0.1491,123,N
13,1.0,1,1,0.1001,122,N
12,1.0,1,1,0.1445,123,N
14,1.0,1,1,0.1044,122,N
11,1.0,1,1,0.1418,124,N
12,1.0,1,1,0.1452,123,N
14,1.0,1,1,0.1351,122,N
12,1.0,1,1,0.0618,123,N
12,1.0,1,1,0.1442,123,N
12,1.0,1,1,0.1524,123,A
13,1.0,1,1,0.0941,123,N
12,1.0,1,1,0.1634,123,A
12,1.0,1,1,0.1,123,N
13,1.0,1,1,0.1187,122,N
14,1.0,1,1,0.1017,122,N
12,1.0,1,1,0.0952,123,N
12,1.0,1,1,0.1073,123,A
13,1.0,1,1,0.1279,122,A
12,1.0,1,1,0.1224,123,N
12,1.0,1,1,0.0912,123,N
12,1.0,1,1,0.0847,124,N
12,1.0,1,1,0.0929,123,N
12,1.0,1,1,0.1258,123,A
13,1.0,1,1,0.1481,122,A
13,1.0,1,1,0.1132,123,N
13,1.0,1,1,0.1355,122,N
13,1.0,1,1,0.0988,123,N
12,1.0,1,1,0.1328,123,N
12,1.0,1,1,0.1262,123,N
17,1.0,1,1,0.0977,120,N
13,1.0,1,1,0.1129,122,N
12,1.0,1,1,0.0596,123,A
13,1.0,1,1,0.1481,123,N
13,1.0,1,1,0.1,123,A
14,1.0,1,1,0.1404,122,N
14,1.0,1,1,0.0857,122,N
13,1.0,1,1,0.0753,123,N
13,1.0,1,1,0.076,123,N
12,1.0,1,1,0.0968,123,N
13,1.0,1,1,0.0922,123,N
12,1.0,1,1,0.1444,123,N
12,1.0,1,1,0.1427,123,N
12,1.0,1,1,0.0832,123,N
12,1.0,1,1,0.1366,123,N
12,1.0,1,1,0.1281,123,N
13,1.0,1,1,0.0926,123,N
11,1.0,1,1,0.1438,123,N
14,1.0,1,1,0.1314,122,N
12,1.0,1,1,0.1313,123,N
14,1.0,1,1,0.1113,122,N
13,1.0,1,1,0.1048,123,N
13,1.0,1,1,0.0835,123,A
13,1.0,1,1,0.0722,123,N
15,1.0,1,1,0.1108,121,N
12,1.0,1,1,0.1321,123,N
13,1.0,1,1,0.1209,122,N
13,1.0,1,1,0.0802,123,N
12,1.0,1,1,0.1333,124,N
14,1.0,1,1,0.1188,122,N
12,1.0,1,1,0.1141,123,N
12,1.0,1,1,0.1116,123,N
13,1.0,1,1,0.1558,122,A
13,1.0,1,1,0.1016,122,N
13,1.0,1,1,0.1215,123,N
13,1.0,1,1,0.0867,123,N
13,1.0,1,1,0.0845,123,N
16,1.0,1,1,0.1485,120,N
13,1.0,1,1,0.0824,123,N
13,1.0,1,1,0.1229,122,N
281,1.0,1,1,0.2789,10,V
12,1.0,1,1,0.08,123,N
12,1.0,1,1,0.1008,123,N
12,1.0,1,1,0.1387,124,N
12,1.0,1,1,0.1308,123,N
13,1.0,1,1,0.0794,123,N
13,1.0,1,1,0.0984,123,N
13,1.0,1,1,0.1244,122,N
13,1.0,1,1,0.0968,122,N
13,1.0,1,1,0.0992,123,N
16,1.0,1,1,0.1011,121,N
12,1.0,1,1,0.1517,123,A
12,1.0,1,1,0.1263,123,N
13,1.0,1,1,0.1124,123,A
15,1.0,1,1,0.082,122,A
14,1.0,1,1,0.1161,122,N
13,1.0,1,1,0.1037,123,N
14,1.0,1,1,0.1038,122,N
14,1.0,1,1,0.1435,122,A
12,1.0,1,1,0.1526,123,N
13,1.0,1,1,0.0866,123,N
12,1.0,1,1,0.1118,123,N
13,1.0,1,1,0.1145,123,N
13,1.0,1,1,0.1315,122,A
16,1.0,1,1,0.0741,121,N
12,1.0,1,1,0.1006,123,N
14,1.0,1,1,0.1108,122,N
11,1.0,1,1,0.137,124,N
13,1.0,1,1,0.1233,123,N
12,1.0,1,1,0.1466,123,N
12,1.0,1,1,0.1064,123,A
11,1.0,1,1,0.0969,124,N
12,1.0,1,1,0.0981,123,N
13,1.0,1,1,0.0963,123,N
13,1.0,1,1,0.0839,123,N
13,1.0,1,1,0.1097,122,N
12,1.0,1,1,0.1097,123,N
12,1.0,1,1,0.0842,123,N
12,1.0,1,1,0.0948,123,N
12,1.0,1,1,0.1445,123,N
14,1.0,1,1,0.1249,123,N
17,1.0,1,1,0.0997,120,N
16,1.0,1,1,0.112,121,N
13,1.0,1,1,0.0891,123,N
11,1.0,1,1,0.1338,124,N
13,1.0,1,1,0.102,123,N
13,1.0,1,1,0.1084,123,N
13,1.0,1,1,0.1109,123,N
13,1.0,1,1,0.0783,123,N
12,1.0,1,1,0.1088,123,N
13,1.0,1,1,0.0805,123,N
13,1.0,1,1,0.0902,123,N
13,1.0,1,1,0.0908,123,N
14,1.0,1,1,0.1563,122,N
12,1.0,1,1,0.1041,123,N
13,1.0,1,1,0.0532,122,A
12,1.0,1,1,0.0996,123,N
11,1.0,1,1,0.0945,123,N
14,1.0,1,1,0.1172,122,N
12,1.0,1,1,0.1022,124,N
11,1.0,1,1,0.0957,124,N
13,1.0,1,1,0.1049,123,N
11,1.0,1,1,0.1122,124,N
12,1.0,1,1,0.1299,123,N
12,1.0,1,1,0.1301,123,N
13,1.0,1,1,0.0799,123,N
12,1.0,1,1,0.1329,123,N
12,1.0,1,1,0.071,123,N
14,1.0,1,1,0.1081,123,N
12,1.0,1,1,0.1253,123,N
13,1.0,1,1,0.0696,123,N
14,1.0,1,1,0.109,122,N
13,1.0,1,1,0.0889,123,N
14,1.0,1,1,0.0593,122,N
14,1.0,1,1,0.1074,122,N
14,1.0,1,1,0.0588,123,N
13,1.0,1,1,0.1176,123,N
14,1.0,1,1,0.0765,122,N
13,1.0,1,1,0.1251,122,N
14,1.0,1,1,0.0776,122,N
15,1.0,1,1,0.0967,121,N
14,1.0,1,1,0.0958,123,N
15,1.0,1,1,0.2375,122,N
14,1.0,1,1,0.2225,123,N
13,1.0,1,1,0.2623,123,N
14,1.0,1,1,0.2646,122,N
13,1.0,1,1,0.2498,123,N
14,1.0,1,1,0.127,123,N
14,1.0,1,1,0.1325,122,N
13,1.0,1,1,0.1163,123,N
270,1.0,1,0,0.1433,25,V
124,1.0,1,1,0.2888,17,V
272,1.0,1,0,0.1345,23,V
131,1.0,1,1,0.3097,16,V
273,1.0,1,1,0.0703,16,V
270,1.0,1,0,0.0856,26,V
135,1.0,1,1,0.2968,9,V
274,1.0,1,0,0.0871,22,V
251,1.0,1,1,0.2359,36,V
117,1.0,1,1,0.2893,31,V
269,1.0,1,1,0.1148,22,V
145,1.0,0,1,0.3118,2,V
273,1.0,1,0,0.1047,22,V
145,1.0,0,1,0.3025,2,V
263,1.0,1,0,0.1106,32,V
144,1.0,0,1,0.3126,2,V
264,1.0,1,0,0.1004,31,V
143,1.0,0,1,0.3162,2,V
283,1.0,1,0,0.1095,12,V
269,1.0,1,0,0.083,27,V
130,1.0,1,1,0.289,15,V
277,1.0,1,0,0.1238,18,V
271,1.0,1,0,0.0735,25,V
245,1.0,1,1,0.2734,41,V
113,1.0,1,1,0.2927,33,V
287,1.0,1,0,0.1103,8,V
270,1.0,1,0,0.1158,25,V
134,1.0,1,1,0.3176,11,V
254,1.0,1,0,0.1296,40,V
273,1.0,1,0,0.1434,22,V
146,1.0,0,1,0.3093,2,V
286,1.0,1,0,0.0781,10,V
119,1.0,1,1,0.2929,27,V
277,1.0,1,0,0.1276,18,V
146,1.0,0,1,0.3067,2,V
14,1.0,1,1,0.0907,123,N
195,1.0,1,1,0.20725000000000002,64,V
267,1.0,1,0,0.1244,28,V
131,1.0,1,1,0.2923,14,V
277,1.0,1,0,0.1457,18,V
269,1.0,1,0,0.1144,26,V
135,1.0,1,1,0.3019,11,V
273,1.0,1,0,0.0863,22,V
269,1.0,1,0,0.0939,26,V
145,1.0,0,1,0.318,2,V
127,1.0,1,1,0.1649,143,V
52,1.0,1,1,0.3056,94,V
142,1.0,0,1,0.3193,2,V
13,1.0,1,1,0.2483,123,N
264,1.0,1,0,0.2429,28,V
145,1.0,0,1,0.3288,2,V
110,1.0,1,1,0.2975,167,N
123,1.0,1,1,0.315,18,V
232,1.0,1,1,0.1053,56,V
131,1.0,1,1,0.3186,17,V
142,1.0,0,1,0.3159,2,V
141,1.0,0,1,0.3003,2,V
61,1.0,1,1,0.24305,159,N
141,1.0,0,1,0.3086,2,V
54,1.0,1,1,0.21005000000000001,177,N
236,1.0,1,1,0.1467,53,V
173,1.0,1,1,0.3151,67,V
232,1.0,1,0,0.0,67,V
137,1.0,0,1,0.3136,6,V
55,1.0,1,1,0.2579,171,N
47,1.0,1,1,0.20155,196,N
14,1.0,1,1,0.1204,122,N
13,1.0,1,1,0.0843,123,N
15,1.0,1,1,0.0565,122,N
14,1.0,1,1,0.064,122,N
14,1.0,1,1,0.1028,122,N
15,1.0,1,1,0.0738,122,N
13,1.0,1,1,0.1087,123,N
15,1.0,1,1,0.0469,122,N
15,1.0,1,1,0.0529,122,N
14,1.0,1,1,0.0638,122,N
14,1.0,1,1,0.1192,122,N
12,1.0,1,1,0.1452,123,N
13,1.0,1,1,0.0773,123,N
14,1.0,1,1,0.1267,122,N
275,1.0,1,0,0.1482,20,V
14,1.0,1,1,0.0811,123,N
15,1.0,1,1,0.1994,121,N
14,1.0,1,1,0.2752,122,N
15,1.0,1,1,0.255,122,N
48,1.0,1,1,0.2688,177,N
15,1.0,1,1,0.2082,122,N
14,1.0,1,1,0.2412,122,N
14,1.0,1,1,0.2722,122,N
15,1.0,1,1,0.1396,123,N
15,1.0,1,1,0.2059,121,N
15,1.0,1,1,0.1644,122,N
14,1.0,1,1,0.1197,122,N
13,1.0,1,1,0.1275,123,N
14,1.0,1,1,0.0789,123,N
14,1.0,1,1,0.1075,123,N
14,1.0,1,1,0.0958,122,N
13,1.0,1,1,0.1003,123,N
14,1.0,1,1,0.1393,122,N
14,1.0,1,1,0.0605,123,N
14,1.0,1,1,0.1305,122,N
14,1.0,1,1,0.0755,122,N
14,1.0,1,1,0.117,123,N
16,1.0,1,1,0.0816,121,N
15,1.0,1,1,0.1101,122,N
16,1.0,1,1,0.1461,121,N
58,1.0,1,1,0.26565,174,N
46,1.0,1,1,0.29164999999999996,177,N
15,1.0,1,1,0.287,122,N
14,1.0,1,1,0.245,122,N
14,1.0,1,1,0.2532,122,N
15,1.0,1,1,0.1762,122,N
275,1.0,1,0,0.1414,20,V
13,1.0,1,1,0.1064,123,N
277,1.0,1,0,0.0971,19,V
14,1.0,1,1,0.0656,122,N
13,1.0,1,1,0.1401,123,N
13,1.0,1,1,0.0921,123,N
14,1.0,1,1,0.1037,122,N
15,1.0,1,1,0.0887,122,N
14,1.0,1,1,0.0873,122,N
15,1.0,1,1,0.1186,123,N
15,1.0,1,1,0.1191,123,N
16,1.0,1,1,0.1278,122,N
13,1.0,1,1,0.2055,123,N
14,1.0,1,1,0.1086,123,N
15,1.0,1,1,0.097,123,N
14,1.0,1,1,0.0706,123,N
13,1.0,1,1,0.0482,123,N
14,1.0,1,1,0.0695,122,N
13,1.0,1,1,0.1114,123,N
14,1.0,1,1,0.0576,122,N
13,1.0,1,1,0.0722,123,N
14,1.0,1,1,0.0624,122,N
15,1.0,1,1,0.0563,122,N
14,1.0,1,1,0.0662,122,N
13,1.0,1,1,0.0612,123,N
15,1.0,1,1,0.0835,122,N
14,1.0,1,1,0.0477,123,N
13,1.0,1,1,0.144,123,N
13,1.0,1,1,0.1314,123,N
14,1.0,1,1,0.0867,122,N
13,1.0,1,1,0.1066,123,N
14,1.0,1,1,0.26,122,N
15,1.0,1,1,0.2531,122,N
15,1.0,1,1,0.2201,122,N
14,1.0,1,1,0.12,123,N
14,1.0,1,1,0.0723,123,N
15,1.0,1,1,0.0689,122,N
13,1.0,1,1,0.0811,123,N
13,1.0,1,1,0.1303,123,N
13,1.0,1,1,0.1273,122,N
14,1.0,1,1,0.0723,122,N
14,1.0,1,1,0.0662,122,N
15,1.0,1,1,0.0888,122,N
14,1.0,1,1,0.0566,122,N
15,1.0,1,1,0.0499,122,N
14,1.0,1,1,0.0643,122,N
275,1.0,1,0,0.0726,21,V
14,1.0,1,1,0.1175,122,N
14,1.0,1,1,0.1361,122,N
277,1.0,1,0,0.1075,18,V
276,1.0,1,0,0.1446,18,V
278,1.0,1,0,0.0738,18,V
275,1.0,1,0,0.1477,20,V
280,1.0,1,0,0.1046,16,V
14,1.0,1,1,0.072,135,N
275,1.0,1,0,0.1076,20,V
245,1.0,1,0,0.0996,50,V
141,1.0,0,1,0.2963,2,V
277,1.0,1,0,0.0924,18,V
278,1.0,1,0,0.1142,17,V
273,1.0,1,0,0.2505,19,V
272,1.0,1,0,0.2242,20,V
142,1.0,0,1,0.3062,2,V
276,1.0,1,0,0.1416,18,V
275,1.0,1,0,0.1058,19,V
144,1.0,0,1,0.3074,2,V
284,1.0,1,0,0.1433,10,V
275,1.0,1,0,0.2362,17,V
278,1.0,1,0,0.1154,16,V
275,1.0,1,1,0.2988,16,V
275,1.0,1,0,0.1118,19,V
141,1.0,1,1,0.3126,100,V
32,1.0,1,1,0.2956,239,N
170,1.0,1,1,0.30735,82,V
29,1.0,1,1,0.2986,111,V
30,1.0,1,1,0.295,110,V
30,1.0,1,1,0.1013,111,V
35,1.0,1,1,0.2763,105,V
31,1.0,1,1,0.2927,109,V
31,1.0,1,1,0.1991,224,N
31,1.0,1,1,0.2904,109,V
33,1.0,1,1,0.284,108,V
279,1.0,1,0,0.0987,16,V
29,1.0,1,1,0.1373,252,N
40,1.0,1,1,0.2987,103,V
144,1.0,0,1,0.3272,2,V
118,1.0,1,1,0.3007,24,V
30,1.0,1,1,0.2689,110,V
127,1.0,1,1,0.2967,16,V
28,1.0,1,1,0.1082,244,N
30,1.0,1,1,0.3053,110,V
39,1.0,1,1,0.1191,241,N
33,1.0,1,1,0.2856,109,V
92,1.0,1,1,0.2211,46,V
201,1.0,1,1,0.329,53,V
156,1.0,0,1,0.3295,2,V
99,1.0,1,1,0.3153,43,V
167,1.0,1,1,0.2024,77,V
28,1.0,1,1,0.1289,112,V
277,1.0,1,0,0.103,18,V
28,1.0,1,1,0.258,111,V
27,1.0,1,1,0.2943,112,V
25,1.0,1,0,0.1096,270,N
27,1.0,1,1,0.1035,113,V
25,1.0,1,1,0.1592,115,V
274,1.0,1,1,0.0825,15,V
37,1.0,1,0,0.0529,254,N
22,1.0,1,1,0.2594,116,V
32,1.0,1,0,0.0838,264,N
24,1.0,1,1,0.129,116,V
24,1.0,1,1,0.1025,115,V
25,1.0,1,1,0.0987,115,V
27,1.0,1,1,0.0882,114,V
23,1.0,1,1,0.1461,116,V
26,1.0,1,1,0.2268,113,V
26,1.0,1,1,0.2929,113,V
25,1.0,1,1,0.218,114,V
26,1.0,1,1,0.2736,112,V
28,1.0,1,1,0.2844,111,V
117,1.0,1,1,0.2786,23,V
28,1.0,1,1,0.3232,111,V
24,1.0,1,1,0.1693,115,V
24,1.0,1,1,0.2667,114,V
29,1.0,1,1,0.0657,111,V
292,1.0,0,0,0.0825,4,V
280,1.0,1,0,0.1133,15,V
278,1.0,1,1,0.2662,11,V
42,1.0,1,1,0.3134,99,V
30,1.0,1,1,0.2394,109,V
23,1.0,1,1,0.1568,116,V
25,1.0,1,0,0.091,271,N
154,1.0,1,1,0.21125,84,V
26,1.0,1,1,0.1892,113,V
14,1.0,1,1,0.1027,122,N
26,1.0,1,1,0.2833,113,V
26,1.0,1,1,0.15,113,V
26,1.0,1,1,0.1117,114,V
31,1.0,1,1,0.222,108,V
27,1.0,1,1,0.2739,112,V
26,1.0,1,1,0.2496,112,V
28,1.0,1,1,0.3019,111,V
14,1.0,1,1,0.1036,122,N
31,1.0,1,1,0.2776,109,V
126,1.0,1,1,0.2957,14,V
116,1.0,1,1,0.286,23,V
29,1.0,1,1,0.2813,110,V
14,1.0,1,1,0.0981,122,N
29,1.0,1,1,0.2739,110,V
26,1.0,1,1,0.2177,113,V
35,1.0,1,1,0.2638,105,V
134,1.0,0,1,0.2987,6,V
286,1.0,0,1,0.267,5,V
23,1.0,1,1,0.164,116,V
31,1.0,1,1,0.2968,108,V
34,1.0,1,1,0.2933,106,V
115,1.0,1,1,0.3151,26,V
216,1.0,1,1,0.0939,33,V
136,1.0,0,1,0.3224,6,V
32,1.0,1,1,0.2965,107,V
250,1.0,1,1,0.2782,40,V
200,1.0,1,1,0.3072,51,V
108,1.0,1,1,0.3198,35,V
136,1.0,1,1,0.3126,104,V
118,1.0,1,1,0.3104,30,V
121,1.0,1,1,0.11923333333333334,145,N
236,1.0,1,0,0.137,59,V
136,1.0,1,1,0.3256,8,V
270,1.0,1,1,0.2898,21,V
280,1.0,1,1,0.3034,10,V
125,1.0,1,1,0.3143,17,V
119,1.0,1,1,0.2387,21,V
28,1.0,1,1,0.0993,113,V
114,1.0,1,1,0.2711,26,V
30,1.0,1,1,0.1072,250,N
34,1.0,1,1,0.2969,106,V
133,1.0,1,1,0.3005,9,V
271,1.0,1,1,0.2984,20,V
115,1.0,1,1,0.3009,28,V
269,1.0,1,1,0.3024,20,V
147,1.0,0,1,0.2908,2,V
287,1.0,1,0,0.1306,8,V
14,1.0,1,1,0.0886,123,N
282,1.0,1,1,0.2802,9,V
33,1.0,1,1,0.3003,106,V
280,1.0,1,1,0.246,8,V
261,1.0,1,0,0.0793,34,V
139,1.0,0,1,0.2929,2,V
278,1.0,1,0,0.1009,17,V
26,1.0,1,1,0.1557,114,V
13,1.0,1,1,0.1341,123,N
284,1.0,0,1,0.2857,5,V
268,1.0,1,0,0.1465,27,V
129,1.0,1,1,0.2736,21,V
13,1.0,1,1,0.0951,123,N
206,1.0,1,1,0.3109,59,V
184,1.0,1,1,0.2957,41,V
15,1.0,1,1,0.0508,122,N
14,1.0,1,1,0.1281,122,N
13,1.0,1,1,0.11,123,N
274,1.0,1,0,0.2723,19,V
15,1.0,1,1,0.0712,122,N
13,1.0,1,1,0.1089,123,N
13,1.0,1,1,0.0472,124,N
14,1.0,1,1,0.0892,122,N
13,1.0,1,1,0.1477,123,N
14,1.0,1,1,0.1403,122,N
14,1.0,1,1,0.0529,122,N
13,1.0,1,1,0.137,122,N
14,1.0,1,1,0.0601,122,N
13,1.0,1,1,0.1442,122,N
14,1.0,1,1,0.0447,123,N
217,1.0,1,1,0.1459,72,V
93,1.0,1,1,0.2814,50,V
58,1.0,1,1,0.20815,191,N
274,1.0,1,0,0.071,22,V
286,1.0,0,1,0.3016,5,V
280,1.0,1,0,0.0746,16,V
281,1.0,1,0,0.1498,14,V
234,1.0,1,1,0.0985,55,V
141,1.0,0,1,0.3152,2,V
286,1.0,1,0,0.1218,9,V
232,1.0,1,1,0.0837,57,V
196,1.0,1,1,0.3269,59,V
227,1.0,1,1,0.2969,62,V
280,1.0,1,1,0.2736,9,V
266,1.0,1,1,0.2833,21,V
271,1.0,1,1,0.1491,18,V
268,1.0,1,1,0.2568,19,V
142,1.0,1,1,0.3245,10,V
279,1.0,1,1,0.2837,11,V
229,1.0,1,1,0.2861,62,V
139,1.0,1,1,0.3217,8,V
242,1.0,1,1,0.2787,46,V
15,1.0,1,1,0.1134,123,N
14,1.0,1,1,0.0766,123,N
14,1.0,1,1,0.0847,123,N
13,1.0,1,1,0.1444,123,N
14,1.0,1,1,0.0767,122,N
13,1.0,1,1,0.1427,123,N
14,1.0,1,1,0.0749,122,N
13,1.0,1,1,0.0992,123,N
151,1.0,0,1,0.2677,2,V
286,1.0,0,0,0.2582,6,V
227,1.0,1,1,0.1385,62,V
189,1.0,1,1,0.3135,47,V
232,1.0,1,0,0.1353,64,V
267,1.0,1,0,0.148,28,V
